AAC,20061220,1.815,1.845,1.815,1.84,107261
AAE,20061220,0.39,0.4,0.385,0.39,69000
AAM,20061220,0.21,0.21,0.21,0.21,25000
AAN,20061220,10.96,11.2,10.96,11.19,898555
AAQ,20061220,0.585,0.585,0.585,0.585,21350
AAR,20061220,0.072,0.073,0.071,0.072,716785
AAU,20061220,0.54,0.54,0.54,0.54,180619
AAX,20061220,3.1,3.1,3.02,3.1,48075
ABB,20061220,6.48,6.53,6.36,6.5,124207
ABC,20061220,2.89,2.9,2.84,2.89,407338
ABI,20061220,0.051,0.055,0.051,0.052,268351
ABJ,20061220,0.29,0.29,0.28,0.29,162519
ABP,20061220,1.8,1.82,1.76,1.8,694438
ABQ,20061220,0.315,0.315,0.31,0.315,89350
ABS,20061220,8.5,8.63,8.41,8.5,3135715
ABU,20061220,0.074,0.076,0.073,0.076,1431364
ABY,20061220,2.35,2.35,2.29,2.3,2839637
ACB,20061220,0.88,0.95,0.855,0.88,2005690
ACE,20061220,0.185,0.2,0.185,0.2,367500
ACG,20061220,0.185,0.185,0.185,0.185,12000
ACL,20061220,0.835,0.835,0.815,0.815,105266
ACR,20061220,0.775,0.79,0.775,0.79,21420
ACS,20061220,0.135,0.135,0.135,0.135,25000
ADA,20061220,0.63,0.63,0.61,0.615,35550
ADB,20061220,12.43,12.55,12.36,12.55,436773
ADG,20061220,3.25,3.25,3.25,3.25,6000
ADI,20061220,0.85,0.85,0.835,0.85,518998
ADL,20061220,0.06,0.06,0.06,0.06,175626
ADN,20061220,0.475,0.475,0.46,0.475,264500
ADS,20061220,0.23,0.24,0.23,0.23,1124367
ADU,20061220,0.67,0.67,0.67,0.67,13000
ADX,20061220,0.077,0.077,0.075,0.075,100000
ADY,20061220,0.093,0.093,0.09,0.09,1779300
ADZ,20061220,2.48,2.51,2.48,2.51,212549
AEC,20061220,5.02,5.02,4.5,4.7,173929
AED,20061220,4.4,4.68,4.4,4.58,530038
AEE,20061220,0.28,0.29,0.275,0.29,255600
AEI,20061220,0.67,0.67,0.65,0.65,42097
AEO,20061220,2.04,2.09,2.01,2.05,39560
AEQ,20061220,3.86,3.86,3.85,3.85,72030
AET,20061220,1.01,1.02,1,1.02,29969
AEU,20061220,1.835,1.88,1.835,1.88,67849
AEX,20061220,0.044,0.046,0.043,0.044,10501688
AEZ,20061220,1.205,1.205,1.19,1.2,1755494
AFG,20061220,12.69,12.7,12.5,12.65,549237
AFI,20061220,5.14,5.17,5.14,5.15,216340
AFT,20061220,0.01,0.01,0.01,0.01,582135
AGC,20061220,1.375,1.375,1.34,1.37,370266
AGG,20061220,12,12,11.77,11.77,27261
AGI,20061220,0.75,0.98,0.75,0.9,3302009
AGK,20061220,16.33,16.38,16.07,16.09,483028
AGM,20061220,0.44,0.44,0.435,0.44,996177
AGO,20061220,0.5,0.5,0.49,0.49,114030
AGS,20061220,1.86,1.87,1.81,1.84,571378
AGX,20061220,0.13,0.13,0.13,0.13,30000
AGY,20061220,0.065,0.075,0.065,0.075,28448
AHC,20061220,3.35,3.35,3.35,3.35,13111
AHD,20061220,5.75,5.92,5.72,5.92,6566
AHE,20061220,2.62,2.62,2.62,2.62,1535
AHN,20061220,0.26,0.26,0.26,0.26,12500
AHO,20061220,0.74,0.74,0.74,0.74,64095
AHS,20061220,0.95,0.95,0.935,0.94,52961
AHU,20061220,4.75,4.9,4.75,4.9,1100
AIA,20061220,1.94,1.95,1.94,1.95,58149
AIE,20061220,0.37,0.37,0.37,0.37,317800
AIH,20061220,3.26,3.34,3.26,3.34,212644
AII,20061220,0.21,0.21,0.21,0.21,23000
AIM,20061220,0.34,0.34,0.33,0.33,2704956
AIV,20061220,0.125,0.125,0.12,0.12,50000
AIX,20061220,2.78,2.79,2.66,2.74,684967
AIY,20061220,0.05,0.05,0.05,0.05,10000
AIZ,20061220,1.615,1.615,1.6,1.6,28480
AJL,20061220,1.15,1.15,1.135,1.15,43276
AKK,20061220,0.66,0.66,0.64,0.645,127995
ALB,20061220,1.66,1.66,1.65,1.65,517000
ALD,20061220,0.32,0.32,0.315,0.315,555500
ALK,20061220,0.23,0.23,0.225,0.225,2360171
ALL,20061220,15.84,15.99,15.72,15.8,1133540
ALR,20061220,1.805,1.81,1.805,1.81,19400
ALS,20061220,11.7,11.98,11.7,11.9,183163
ALU,20061220,0.86,0.88,0.86,0.87,14287
ALZ,20061220,2.02,2.05,2.02,2.05,594313
AMA,20061220,0.39,0.39,0.39,0.39,53500
AMB,20061220,1.15,1.15,1.15,1.15,2974
AMC,20061220,7.09,7.15,7.05,7.11,2930801
AMG,20061220,0.095,0.115,0.095,0.115,575878
AMH,20061220,0.65,0.67,0.65,0.67,77476
AMM,20061220,0.165,0.165,0.165,0.165,44112
AMP,20061220,9.76,9.82,9.74,9.8,3376554
AMU,20061220,0.99,0.99,0.965,0.965,119361
ANC,20061220,6.21,6.21,6.21,6.21,6210
AND,20061220,0.345,0.345,0.34,0.34,95886
ANE,20061220,4.3,4.3,4.3,4.3,14330
ANG,20061220,1.015,1.025,1,1,92417
ANH,20061220,0.06,0.061,0.06,0.06,763000
ANM,20061220,0.495,0.51,0.48,0.48,37500
ANN,20061220,11.55,11.55,11.37,11.39,750199
ANO,20061220,0.195,0.2,0.195,0.195,227295
ANP,20061220,0.04,0.042,0.04,0.042,2319365
ANX,20061220,0.27,0.275,0.265,0.265,35000
ANZ,20061220,28.52,28.53,28.25,28.25,4959507
AOC,20061220,0.083,0.083,0.083,0.083,10000
AOD,20061220,10,10.01,10,10.01,7102
AOE,20061220,1.25,1.25,1.18,1.2,1692410
AOI,20061220,0.06,0.06,0.06,0.06,149083
AOM,20061220,0.013,0.013,0.013,0.013,69000
AOS,20061220,0.105,0.105,0.105,0.105,60000
APA,20061220,4.16,4.22,4.16,4.22,368555
APD,20061220,3.19,3.22,3.19,3.22,10350
APE,20061220,10.9,12,10.9,12,2775
APG,20061220,0.055,0.058,0.055,0.058,879450
API,20061220,2.28,2.29,2.26,2.28,764616
APM,20061220,0.019,0.022,0.019,0.022,315000
APN,20061220,5.93,5.94,5.9,5.93,252088
APV,20061220,0.145,0.145,0.145,0.145,10000
APZ,20061220,1.85,1.85,1.84,1.84,610185
AQA,20061220,3.34,3.34,3.27,3.3,109350
AQD,20061220,0.165,0.175,0.165,0.17,74250
AQL,20061220,0.029,0.029,0.029,0.029,80000
AQP,20061220,27.79,28.33,27.75,28.04,43393
ARA,20061220,0.57,0.58,0.57,0.58,111351
ARE,20061220,0.275,0.295,0.275,0.29,957030
ARG,20061220,8,8,7.92,7.92,152093
ARM,20061220,0.28,0.28,0.28,0.28,17460
ARP,20061220,3.7,3.7,3.67,3.67,20982
ARQ,20061220,1.36,1.375,1.34,1.34,818399
ARR,20061220,2.21,2.24,2.2,2.24,62943
ARU,20061220,0.54,0.57,0.54,0.57,615185
ARW,20061220,0.5,0.55,0.48,0.54,122636
ARX,20061220,0.027,0.027,0.026,0.026,196000
ASB,20061220,3.66,3.69,3.64,3.66,185529
ASC,20061220,0.036,0.036,0.036,0.036,50000
ASL,20061220,1.79,1.79,1.785,1.785,11200
ASU,20061220,0.031,0.032,0.031,0.032,333552
ASX,20061220,38,38.2,37.53,37.7,391108
ASZ,20061220,0.93,0.94,0.93,0.94,792717
ATG,20061220,0.285,0.29,0.285,0.29,37000
ATP,20061220,0.39,0.4,0.39,0.4,142153
ATR,20061220,2.4,2.5,2.4,2.5,10908
ATV,20061220,0.115,0.115,0.115,0.115,18000
ATZ,20061220,0.12,0.125,0.115,0.125,55012
AUB,20061220,4.35,4.35,4.26,4.35,28313
AUI,20061220,7.65,7.65,7.65,7.65,800
AUN,20061220,1.35,1.35,1.3,1.31,927697
AUS,20061220,1.155,1.175,1.15,1.16,308411
AUW,20061220,2.44,2.51,2.44,2.48,1225191
AUX,20061220,0.053,0.056,0.053,0.053,5117936
AUZ,20061220,0.08,0.083,0.076,0.079,10845552
AVA,20061220,0.061,0.062,0.061,0.062,475000
AVD,20061220,0.62,0.65,0.62,0.65,25000
AVE,20061220,2.36,2.36,2.35,2.36,19764
AVJ,20061220,1.1,1.105,1.1,1.105,52302
AVM,20061220,1.29,1.29,1.27,1.28,73208
AVO,20061220,1.235,1.265,1.235,1.255,123013
AVP,20061220,0.015,0.015,0.015,0.015,1590000
AVQ,20061220,0.25,0.25,0.24,0.25,35000
AVR,20061220,1.615,1.62,1.61,1.615,243210
AVS,20061220,0.45,0.46,0.425,0.425,379921
AVU,20061220,1.34,1.35,1.34,1.35,137451
AVX,20061220,0.29,0.295,0.29,0.295,247870
AWB,20061220,2.67,2.88,2.66,2.88,5520893
AWC,20061220,6.32,6.4,6.31,6.32,5994475
AWE,20061220,2.89,2.93,2.87,2.89,1407510
AWG,20061220,0.175,0.175,0.16,0.16,314500
AWL,20061220,0.01,0.01,0.01,0.01,100000
AXA,20061220,6.87,7.09,6.87,7.09,1059100
AXI,20061220,0.28,0.28,0.275,0.28,295212
AXM,20061220,0.385,0.385,0.38,0.38,207604
AXO,20061220,0.93,0.93,0.88,0.88,118301
AXQ,20061220,0.825,0.825,0.78,0.78,412506
AXT,20061220,0.28,0.285,0.275,0.275,144800
AYF,20061220,10.03,10.03,10.03,10.03,3990
AZA,20061220,1.64,1.645,1.61,1.62,289597
AZC,20061220,0.2,0.21,0.2,0.21,60750
AZD,20061220,6.8,6.8,6.5,6.7,22307
AZR,20061220,0.29,0.295,0.29,0.29,1305577
AZX,20061220,1.32,1.32,1.3,1.3,12070
AZZ,20061220,0.68,0.68,0.67,0.675,171646
BAR,20061220,0.275,0.295,0.275,0.28,1374995
BAS,20061220,0.081,0.081,0.08,0.08,100000
BAX,20061220,5.56,5.6,5.56,5.56,74200
BBG,20061220,17.15,17.25,17.09,17.18,745358
BBI,20061220,1.87,1.885,1.86,1.885,2362031
BBP,20061220,2.64,2.66,2.63,2.66,2296292
BBW,20061220,1.62,1.63,1.6,1.61,6364608
BCF,20061220,0.675,0.685,0.645,0.645,2489083
BCI,20061220,0.735,0.785,0.68,0.71,1251013
BCM,20061220,4.35,4.44,4.35,4.43,865559
BCN,20061220,0.185,0.185,0.185,0.185,155000
BDG,20061220,0.77,0.78,0.77,0.77,2218228
BDI,20061220,0.65,0.65,0.65,0.65,1000
BDL,20061220,0.24,0.245,0.23,0.245,1165724
BDS,20061220,4.05,4.08,4.04,4.04,230257
BEC,20061220,2.88,2.9,2.88,2.9,428276
BEI,20061220,1.6,1.63,1.6,1.62,152713
BEL,20061220,0.425,0.425,0.425,0.425,4000
BEN,20061220,13.72,13.88,13.72,13.8,157887
BGD,20061220,0.46,0.47,0.46,0.47,210000
BGF,20061220,0.27,0.275,0.27,0.275,489824
BHP,20061220,25.5,25.86,25.47,25.77,18305107
BIT,20061220,0.25,0.25,0.235,0.235,48960
BIX,20061220,0.135,0.135,0.135,0.135,88942
BJT,20061220,1.995,2.04,1.985,2.03,13363831
BKI,20061220,1.45,1.47,1.45,1.45,39027
BKL,20061220,17.85,17.85,17.8,17.8,322
BKN,20061220,8.18,8.18,8.02,8.04,576573
BKP,20061220,0.245,0.245,0.24,0.24,943491
BKR,20061220,0.305,0.305,0.3,0.3,30000
BKW,20061220,12.25,12.35,12.25,12.26,1218
BKY,20061220,1.17,1.17,1.1,1.115,270460
BLD,20061220,7.66,7.79,7.62,7.66,3015061
BLG,20061220,0.38,0.38,0.38,0.38,90000
BLK,20061220,0.285,0.295,0.285,0.295,25334
BLP,20061220,0.85,0.865,0.85,0.86,412630
BLR,20061220,0.074,0.076,0.071,0.073,8952225
BLS,20061220,0.1,0.1,0.1,0.1,6600
BLT,20061220,0.07,0.07,0.07,0.07,138850
BLZ,20061220,0.027,0.03,0.027,0.03,274840
BMN,20061220,1.925,2.06,1.9,2.04,1486350
BMO,20061220,0.26,0.26,0.25,0.255,505343
BMX,20061220,0.275,0.28,0.27,0.275,283311
BMY,20061220,0.215,0.215,0.205,0.205,75000
BNB,20061220,24.15,24.58,24.15,24.58,661420
BNO,20061220,0.21,0.215,0.2,0.215,123200
BNT,20061220,0.165,0.17,0.165,0.17,525235
BOC,20061220,0.67,0.72,0.67,0.72,1188
BOD,20061220,0.11,0.11,0.105,0.105,12000
BOL,20061220,4.1,4.11,4.05,4.07,627350
BON,20061220,0.105,0.105,0.1,0.1,14851
BOQ,20061220,15.5,15.65,15.45,15.65,211467
BOS,20061220,0.165,0.165,0.165,0.165,66111
BOW,20061220,0.18,0.18,0.175,0.18,108000
BPG,20061220,0.04,0.041,0.04,0.041,190000
BPH,20061220,0.125,0.125,0.125,0.125,16500
BPO,20061220,0.019,0.021,0.018,0.019,1773933
BPT,20061220,1.435,1.45,1.43,1.44,2468393
BQT,20061220,0.165,0.17,0.155,0.16,1264722
BRO,20061220,0.003,0.004,0.003,0.004,8859970
BRT,20061220,0.1,0.1,0.1,0.1,83410
BRW,20061220,0.425,0.43,0.42,0.42,120053
BRZ,20061220,1.8,1.8,1.8,1.8,112695
BSA,20061220,0.46,0.48,0.46,0.48,50855
BSG,20061220,3.03,3.07,3,3.03,794420
BSL,20061220,8.22,8.48,8.22,8.44,3901743
BSM,20061220,0.36,0.36,0.33,0.33,249026
BSO,20061220,1.48,1.49,1.43,1.46,450590
BTA,20061220,1.65,1.655,1.56,1.655,692898
BTC,20061220,0.4,0.4,0.395,0.4,67000
BTV,20061220,0.135,0.135,0.13,0.13,129504
BTX,20061220,0.24,0.24,0.24,0.24,137393
BUR,20061220,0.195,0.195,0.195,0.195,5000
BUY,20061220,0.05,0.052,0.05,0.052,59000
BVA,20061220,2.9,2.93,2.86,2.9,63393
BWP,20061220,2.17,2.17,2.12,2.12,1139360
BXB,20061220,12.8,12.84,12.76,12.8,10267163
BXP,20061220,0.2,0.2,0.19,0.195,218200
BYI,20061220,0.91,0.91,0.9,0.9,63300
BYR,20061220,0.22,0.22,0.21,0.215,250500
BZI,20061220,0.5,0.5,0.5,0.5,3288
CAA,20061220,1.1,1.1,1.085,1.085,266212
CAB,20061220,9.65,9.65,9.2,9.3,315862
CAF,20061220,1.26,1.26,1.26,1.26,1512
CAL,20061220,0.725,0.73,0.725,0.73,13600
CAM,20061220,1.05,1.055,1.05,1.05,22311
CAT,20061220,5.6,5.6,5.6,5.6,19
CAU,20061220,0.078,0.078,0.078,0.078,69871
CAZ,20061220,0.59,0.595,0.58,0.59,300000
CBA,20061220,48.15,49.05,48.15,48.85,3153502
CBD,20061220,0.045,0.05,0.045,0.046,425794
CBH,20061220,0.755,0.755,0.735,0.75,2432169
CBM,20061220,3.01,3.05,2.9,3.05,23764
CCE,20061220,0.11,0.11,0.105,0.11,809584
CCI,20061220,0.005,0.006,0.005,0.006,6731200
CCL,20061220,7.63,7.78,7.63,7.73,1368781
CCP,20061220,7.9,7.9,7.85,7.9,26170
CCS,20061220,0.047,0.055,0.044,0.044,2924300
CCV,20061220,0.725,0.81,0.725,0.73,2277817
CDA,20061220,1.35,1.36,1.35,1.35,18100
CDD,20061220,5.49,5.49,5.49,5.49,3872
CDF,20061220,1.84,1.855,1.84,1.855,22436
CDI,20061220,1.065,1.065,1.06,1.065,48637
CDM,20061220,1.17,1.17,1.16,1.16,40890
CDO,20061220,4.04,4.12,4.04,4.12,3353
CDP,20061220,5.09,5.1,5.08,5.1,22164
CDR,20061220,2.2,2.22,2.18,2.21,221429
CDS,20061220,0.02,0.02,0.019,0.019,475000
CDU,20061220,4.8,4.84,4.73,4.74,216013
CDX,20061220,2.21,2.21,2.21,2.21,20000
CEC,20061220,0.67,0.67,0.67,0.67,650
CEG,20061220,1.95,1.95,1.9,1.9,12045
CER,20061220,1.865,1.88,1.85,1.875,564487
CEU,20061220,1.45,1.45,1.44,1.445,2391533
CEY,20061220,2.75,2.79,2.75,2.79,353735
CFE,20061220,0.365,0.37,0.355,0.36,394467
CFI,20061220,0.64,0.64,0.64,0.64,17555
CFK,20061220,0.33,0.33,0.33,0.33,25000
CFR,20061220,0.014,0.014,0.013,0.013,3250000
CFU,20061220,0.88,0.93,0.88,0.925,251697
CFX,20061220,2.14,2.19,2.14,2.18,6974728
CGF,20061220,4.04,4.1,4.03,4.1,907678
CGJ,20061220,13.7,13.93,13.7,13.88,4645874
CGM,20061220,0.26,0.265,0.26,0.26,545000
CGT,20061220,0.195,0.195,0.19,0.19,100000
CHC,20061220,2.2,2.2,2.17,2.19,417700
CHD,20061220,1,1,1,1,92500
CHF,20061220,0.4,0.415,0.38,0.415,37650
CHL,20061220,0.33,0.33,0.33,0.33,17061
CHN,20061220,0.125,0.13,0.125,0.13,45000
CHO,20061220,6.2,6.2,6.2,6.2,2432
CHQ,20061220,0.74,0.745,0.74,0.745,265705
CIF,20061220,3.7,3.75,3.7,3.75,100207
CIG,20061220,0.058,0.058,0.058,0.058,15000
CIL,20061220,1.93,1.93,1.88,1.93,46900
CIN,20061220,19.87,19.9,19.87,19.9,2889
CIR,20061220,1.6,1.6,1.59,1.59,9117
